Pad adapter board channel mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,QS1P,,,,,QS1C,,,,,QS2P,,,,,QS2C,,,,,QS3P,,,,,QS3C,,,,,QL1P,,,,,QL1C,,,,,QL2P,,,,,QL2C,,,,,QL3P,,,,,QL3C,,,,
,,GFZ Connector,GFZ Channel,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad42L ,Pad42R ,Pad42R ,Pad42L ,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad112R,Pad112L,Pad112L,Pad112R,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad75R ,Pad75L ,Pad75L ,Pad75R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,,Pad70R ,Pad70L ,Pad70L ,Pad70R ,
,,,,,QS1P1,QS1P2,QS1P3,QS1P4,,QS1C4,QS1C3,QS1C2,QS1C1,,QS2P1,QS2P2,QS2P3,QS2P4,,QS2C4,QS2C3,QS2C2,QS2C1,,QS3P1,QS3P2,QS3P3,QS3P4,,QS3C4,QS3C3,QS3C2,QS3C1,,QL1P1,QL1P2,QL1P3,QL1P4,,QL1C4,QL1C3,QL1C2,QL1C1,,QL2P1,QL2P2,QL2P3,QL2P4,,QL2C4,QL2C3,QL2C2,QL2C1,,QL3P1,QL3P2,QL3P3,QL3P4,,QL3C4,QL3C3,QL3C2,QL3C1,
,,P1,i26,,,,,,,,,,,,,,,,,,,,,,32,32,32,32,,32,32,32,32,,32,32,32,32,,32,32,32,32,,32,32,32,32,,32,32,32,32,,32,32,32,32,,32,32,32,32,
,,P1,i27,,,,,,,,,,,,,,,,,,,,,,31,31,31,31,,31,31,31,31,,31,31,31,31,,31,31,31,31,,31,31,31,31,,31,31,31,31,,31,31,31,31,,31,31,31,31,
,,P1,i28,,,,,,,,,,,,,30,,,,,,30,,,30,30,30,30,,30,30,30,30,,30,30,30,30,,30,30,30,30,,30,30,30,30,,30,30,30,30,,30,30,30,30,,30,30,30,30,
,,P1,i29,,,,,,,,,,,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,,29,29,29,29,
,,P1,i30,,,,,,,,,,,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,,28,28,28,28,
,,P1,i31,,,,,,,,,,,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,,27,27,27,27,
,,P1,i32,,,,,,,,,,,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,,26,26,26,26,
,,P1,i33,,,,,,,,,,,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,,25,25,25,25,
,,P1,i34,,,,,,,,,,,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,,24,24,24,24,
,,P1,i35,,,,,,,,,,,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,,23,23,23,23,
